sweeps,beta,magnetisation,energy,G,seed
0,1,1,-4,1,6
1,1,1,-4,1,6
2,1,1,-4,1,6
3,1,0.99875,-3.99,0.9975,6
4,1,1,-4,1,6
5,1,1,-4,1,6
6,1,1,-4,1,6
7,1,0.99875,-3.99,0.9975,6
8,1,0.99875,-3.99,0.9975,6
9,1,0.9925,-3.95,0.9875,6
10,1,0.99375,-3.96,0.99,6
11,1,0.9975,-3.98,0.995,6
12,1,0.99875,-3.99,0.9975,6
13,1,0.99875,-3.99,0.9975,6
14,1,1,-4,1,6
15,1,0.99875,-3.99,0.9975,6
16,1,0.99875,-3.99,0.9975,6
17,1,0.9975,-3.98,0.995,6
18,1,0.99875,-3.99,0.9975,6
19,1,1,-4,1,6
20,1,1,-4,1,6
21,1,1,-4,1,6
22,1,1,-4,1,6
23,1,1,-4,1,6
24,1,1,-4,1,6
25,1,1,-4,1,6
26,1,0.99875,-3.99,0.9975,6
27,1,0.9975,-3.98,0.995,6
28,1,1,-4,1,6
29,1,1,-4,1,6
30,1,1,-4,1,6
31,1,0.99875,-3.99,0.9975,6
32,1,1,-4,1,6
33,1,1,-4,1,6
34,1,1,-4,1,6
35,1,1,-4,1,6
36,1,1,-4,1,6
37,1,1,-4,1,6
38,1,1,-4,1,6
39,1,0.9975,-3.98,0.995,6
40,1,0.9975,-3.98,0.995,6
41,1,0.99625,-3.97,0.9925,6
42,1,0.9975,-3.98,0.995,6
43,1,0.9975,-3.98,0.995,6
44,1,1,-4,1,6
45,1,0.99875,-3.99,0.9975,6
46,1,1,-4,1,6
47,1,1,-4,1,6
48,1,1,-4,1,6
49,1,1,-4,1,6
50,1,1,-4,1,6
