sweeps,beta,magnetisation,energy,G,seed
0,1.11,1,-4,1,44
1,1.11,1,-4,1,44
2,1.11,0.99875,-3.99,0.9975,44
3,1.11,0.9975,-3.98,0.995,44
4,1.11,0.99875,-3.99,0.9975,44
5,1.11,1,-4,1,44
6,1.11,0.99875,-3.99,0.9975,44
7,1.11,0.99875,-3.99,0.9975,44
8,1.11,0.99875,-3.99,0.9975,44
9,1.11,0.99875,-3.99,0.9975,44
10,1.11,1,-4,1,44
11,1.11,1,-4,1,44
12,1.11,1,-4,1,44
13,1.11,1,-4,1,44
14,1.11,1,-4,1,44
15,1.11,1,-4,1,44
16,1.11,1,-4,1,44
17,1.11,1,-4,1,44
18,1.11,1,-4,1,44
19,1.11,1,-4,1,44
20,1.11,1,-4,1,44
21,1.11,1,-4,1,44
22,1.11,0.9975,-3.98,0.995,44
23,1.11,0.9975,-3.98,0.995,44
24,1.11,0.9975,-3.98,0.995,44
25,1.11,0.9975,-3.98,0.995,44
26,1.11,1,-4,1,44
27,1.11,1,-4,1,44
28,1.11,1,-4,1,44
29,1.11,1,-4,1,44
30,1.11,1,-4,1,44
31,1.11,1,-4,1,44
32,1.11,1,-4,1,44
33,1.11,1,-4,1,44
34,1.11,1,-4,1,44
35,1.11,1,-4,1,44
36,1.11,1,-4,1,44
37,1.11,0.99875,-3.99,0.9975,44
38,1.11,1,-4,1,44
39,1.11,1,-4,1,44
40,1.11,1,-4,1,44
41,1.11,1,-4,1,44
42,1.11,1,-4,1,44
43,1.11,1,-4,1,44
44,1.11,1,-4,1,44
45,1.11,1,-4,1,44
46,1.11,1,-4,1,44
47,1.11,1,-4,1,44
48,1.11,1,-4,1,44
49,1.11,1,-4,1,44
50,1.11,1,-4,1,44
