sweeps,beta,magnetisation,energy,G,seed,mVar,eVar
0,0.3,1.0,-4.0,1.0,1,0.005960611243307556,0.007157436049970257
1,0.3,0.81375,-2.855,0.7075,1,0.005960611243307556,0.007157436049970257
2,0.3,0.665,-2.245,0.575,1,0.005960611243307556,0.007157436049970257
3,0.3,0.555,-1.94,0.485,1,0.005960611243307556,0.007157436049970257
4,0.3,0.4225,-1.725,0.42,1,0.005960611243307556,0.007157436049970257
5,0.3,0.37625,-1.65,0.4125,1,0.005960611243307556,0.007157436049970257
6,0.3,0.32125,-1.505,0.365,1,0.005960611243307556,0.007157436049970257
7,0.3,0.30375,-1.425,0.3425,1,0.005960611243307556,0.007157436049970257
8,0.3,0.24375,-1.5,0.365,1,0.005960611243307556,0.007157436049970257
9,0.3,0.215,-1.5,0.375,1,0.005960611243307556,0.007157436049970257
10,0.3,0.2525,-1.54,0.375,1,0.005960611243307556,0.007157436049970257
11,0.3,0.1875,-1.505,0.365,1,0.005960611243307556,0.007157436049970257
12,0.3,0.15125,-1.36,0.2925,1,0.005960611243307556,0.007157436049970257
13,0.3,0.19375,-1.305,0.3025,1,0.005960611243307556,0.007157436049970257
14,0.3,0.12875,-1.335,0.345,1,0.005960611243307556,0.007157436049970257
15,0.3,0.10625,-1.345,0.3325,1,0.005960611243307556,0.007157436049970257
16,0.3,0.06125,-1.395,0.3425,1,0.005960611243307556,0.007157436049970257
17,0.3,0.03625,-1.29,0.33,1,0.005960611243307556,0.007157436049970257
18,0.3,0.01375,-1.435,0.3825,1,0.005960611243307556,0.007157436049970257
19,0.3,0.06,-1.395,0.36,1,0.005960611243307556,0.007157436049970257
20,0.3,0.0625,-1.475,0.3725,1,0.005960611243307556,0.007157436049970257
21,0.3,0.05,-1.44,0.36,1,0.005960611243307556,0.007157436049970257
22,0.3,0.05625,-1.415,0.3675,1,0.005960611243307556,0.007157436049970257
23,0.3,0.0825,-1.375,0.3525,1,0.005960611243307556,0.007157436049970257
24,0.3,0.05125,-1.42,0.3675,1,0.005960611243307556,0.007157436049970257
25,0.3,-0.02625,-1.37,0.36,1,0.005960611243307556,0.007157436049970257
26,0.3,0.03125,-1.31,0.3425,1,0.005960611243307556,0.007157436049970257
27,0.3,-0.0425,-1.61,0.395,1,0.005960611243307556,0.007157436049970257
28,0.3,-0.0375,-1.405,0.3625,1,0.005960611243307556,0.007157436049970257
29,0.3,-0.025,-1.425,0.3625,1,0.005960611243307556,0.007157436049970257
30,0.3,-0.0125,-1.4,0.315,1,0.005960611243307556,0.007157436049970257
31,0.3,-0.0475,-1.15,0.2775,1,0.005960611243307556,0.007157436049970257
32,0.3,-0.02625,-1.325,0.35,1,0.005960611243307556,0.007157436049970257
33,0.3,-0.04125,-1.325,0.31,1,0.005960611243307556,0.007157436049970257
34,0.3,-0.0775,-1.405,0.3375,1,0.005960611243307556,0.007157436049970257
35,0.3,-0.06,-1.45,0.375,1,0.005960611243307556,0.007157436049970257
36,0.3,-0.11,-1.39,0.34,1,0.005960611243307556,0.007157436049970257
37,0.3,-0.065,-1.535,0.3925,1,0.005960611243307556,0.007157436049970257
38,0.3,-0.0425,-1.53,0.395,1,0.005960611243307556,0.007157436049970257
39,0.3,-0.01625,-1.36,0.34,1,0.005960611243307556,0.007157436049970257
40,0.3,0.01625,-1.32,0.3375,1,0.005960611243307556,0.007157436049970257
41,0.3,0.0125,-1.415,0.3825,1,0.005960611243307556,0.007157436049970257
42,0.3,0.05625,-1.555,0.4025,1,0.005960611243307556,0.007157436049970257
43,0.3,0.0575,-1.44,0.3625,1,0.005960611243307556,0.007157436049970257
44,0.3,0.10375,-1.495,0.3825,1,0.005960611243307556,0.007157436049970257
45,0.3,0.07125,-1.42,0.3625,1,0.005960611243307556,0.007157436049970257
46,0.3,0.06,-1.48,0.39,1,0.005960611243307556,0.007157436049970257
47,0.3,0.0675,-1.465,0.3575,1,0.005960611243307556,0.007157436049970257
48,0.3,-0.01375,-1.395,0.35,1,0.005960611243307556,0.007157436049970257
49,0.3,-0.01625,-1.365,0.3325,1,0.005960611243307556,0.007157436049970257
50,0.3,-0.01875,-1.33,0.3325,1,0.005960611243307556,0.007157436049970257
